0.98,0.11,-0.11,12.33,-10.01,-37.72
0.96,0.12,-0.07,7.57,-11.54,-39.55
0.94,0.13,-0.06,3.60,-12.63,-40.53
0.93,0.14,-0.07,1.59,-14.28,-40.41
0.93,0.14,-0.05,-1.65,-15.87,-40.83
0.92,0.18,-0.03,-3.30,-16.05,-42.30
0.89,0.24,-0.05,-5.98,-15.93,-44.19
0.87,0.22,-0.09,-10.80,-17.70,-45.04
0.88,0.20,-0.07,-6.77,-19.41,-44.49
0.89,0.18,-0.09,-0.43,-18.37,-43.70
0.88,0.19,-0.12,3.78,-19.78,-43.46
0.87,0.20,-0.13,8.36,-19.17,-45.96
0.86,0.23,-0.14,12.21,-15.01,-47.73
0.86,0.25,-0.18,15.63,-12.51,-47.73
0.86,0.25,-0.23,21.12,-11.84,-48.10
0.86,0.25,-0.24,26.86,-9.77,-49.50
0.86,0.24,-0.21,31.01,-8.73,-49.56
0.88,0.25,-0.20,35.52,-9.83,-49.38
0.89,0.25,-0.20,36.62,-11.35,-47.79
0.90,0.25,-0.21,34.12,-10.38,-44.13
0.91,0.27,-0.25,30.33,-9.16,-38.33
0.90,0.31,-0.28,23.62,-9.16,-32.35
0.90,0.33,-0.29,16.05,-9.89,-25.51
0.90,0.34,-0.31,8.42,-9.46,-18.13
0.90,0.33,-0.33,2.08,-7.81,-9.95
0.91,0.32,-0.35,-1.95,-4.88,-2.87
0.92,0.28,-0.36,-3.85,-1.83,3.30
0.92,0.22,-0.32,-3.60,-0.12,8.67
0.92,0.18,-0.33,-2.20,1.77,12.88
0.92,0.15,-0.32,-2.44,3.54,15.75
0.92,0.13,-0.29,-3.11,5.13,17.64
0.91,0.12,-0.28,-3.48,6.16,19.53
0.92,0.10,-0.24,-3.72,5.98,21.85
0.92,0.12,-0.20,-2.50,6.47,23.68
0.91,0.13,-0.18,-2.87,6.77,24.78
0.92,0.12,-0.16,-3.97,6.53,26.37
0.91,0.12,-0.14,-3.60,6.77,28.26
0.90,0.13,-0.14,-3.17,6.96,30.33
0.89,0.14,-0.15,-2.38,8.18,32.78
0.88,0.16,-0.15,0.79,11.84,35.40
0.88,0.20,-0.18,4.64,16.97,38.27
0.88,0.23,-0.22,3.72,22.46,41.56
0.91,0.26,-0.26,3.23,27.22,44.13
0.91,0.30,-0.29,2.38,28.32,46.45
0.89,0.29,-0.27,2.44,25.15,48.16
0.87,0.28,-0.25,5.68,22.03,50.66
0.85,0.26,-0.21,10.80,22.64,53.04
0.85,0.23,-0.19,12.70,27.53,55.91
0.87,0.24,-0.14,15.20,29.66,58.90
0.89,0.25,-0.10,14.22,26.37,61.40
0.90,0.21,-0.10,9.03,21.24,62.13
0.93,0.16,-0.08,7.20,19.29,60.97
0.96,0.12,-0.05,8.97,19.35,57.62
0.98,0.08,-0.03,9.70,18.49,53.34
0.98,0.02,-0.04,4.58,16.60,50.29
0.99,-0.04,-0.05,-2.93,16.78,48.16
1.02,-0.09,-0.03,-7.02,17.76,46.94
1.03,-0.05,-0.10,-10.01,18.37,46.88
0.98,-0.00,-0.11,-16.36,19.53,45.04
0.96,0.10,-0.17,-13.31,19.53,43.21
0.96,0.17,-0.10,-8.67,18.07,41.32
0.98,0.18,-0.12,-7.08,18.80,40.89
0.96,0.18,-0.16,1.46,14.65,38.76
0.96,0.18,-0.18,2.50,14.34,37.48
0.94,0.20,-0.18,0.43,17.15,35.77
0.92,0.27,-0.22,-1.53,19.65,33.75
0.93,0.29,-0.20,-4.21,17.82,32.53
1.00,0.29,-0.27,-7.87,12.63,33.08
