0.89,-0.39,0.21,39.92,27.95,0.73
0.9,-0.37,0.24,30.7,24.6,-0.85
0.88,-0.37,0.24,22.95,23.86,-4.7
0.87,-0.39,0.25,16.05,25.57,-7.63
0.82,-0.4,0.27,7.32,27.65,-9.22
0.77,-0.42,0.28,-2.38,28.69,-10.25
0.65,-0.55,0.27,-4.58,32.35,-10.25
0.6,-0.65,0.33,-7.08,34.97,-6.29
0.61,-0.66,0.41,-8.91,33.63,-0.61
0.66,-0.62,0.39,-6.9,31.8,2.99
0.72,-0.58,0.31,-0.61,27.34,4.58
0.75,-0.58,0.28,7.63,21.55,7.08
0.7,-0.66,0.27,14.71,17.15,9.83
0.7,-0.69,0.3,16.72,14.77,12.57
0.72,-0.72,0.34,14.83,12.02,15.5
0.69,-0.75,0.29,18.55,8.67,14.59
0.68,-0.71,0.25,20.26,1.53,13.0
0.67,-0.67,0.26,25.09,-3.36,14.59
0.72,-0.63,0.23,27.04,-6.1,16.54
0.73,-0.62,0.23,30.33,-9.16,17.52
0.68,-0.62,0.29,33.33,-8.36,18.25
0.67,-0.63,0.28,30.21,-5.62,18.43
0.76,-0.61,0.25,19.53,-5.68,18.31
0.88,-0.56,0.22,8.36,-8.85,16.42
0.91,-0.55,0.22,8.3,-11.35,13.24
0.88,-0.56,0.21,15.93,-8.79,10.13
0.82,-0.55,0.2,17.76,-4.64,7.02
0.83,-0.56,0.22,16.78,-1.34,4.64
0.82,-0.56,0.18,21.55,1.71,0.49
0.83,-0.57,0.18,24.29,5.92,-2.62
0.8,-0.58,0.18,30.15,7.2,-4.7
0.74,-0.62,0.15,39.86,8.67,-6.1
0.66,-0.66,0.13,43.58,12.21,-8.24
0.57,-0.69,0.14,42.11,18.68,-9.58
0.6,-0.64,0.18,32.59,23.25,-9.4
0.82,-0.54,0.26,12.88,18.55,-6.9
1.07,-0.46,0.3,-3.17,7.02,-5.19
1.06,-0.54,0.19,3.97,1.22,-5.92
0.88,-0.65,0.07,22.34,6.59,-7.32
0.79,-0.66,0.09,21.55,14.04,-7.2
0.79,-0.62,0.14,8.73,13.24,-6.35
0.81,-0.57,0.15,1.46,7.63,-5.92
0.82,-0.53,0.12,1.16,5.43,-5.43
0.83,-0.51,0.1,4.15,8.61,-5.19
0.84,-0.49,0.09,5.62,11.23,-4.94
0.84,-0.47,0.12,2.08,10.01,-4.33
0.85,-0.46,0.14,-4.46,6.35,-2.87
0.88,-0.47,0.18,-11.23,2.26,-0.85
0.91,-0.47,0.19,-19.84,-0.61,1.89
0.92,-0.48,0.2,-28.5,-2.2,5.92
0.92,-0.49,0.21,-33.39,-4.09,10.13
0.97,-0.5,0.24,-34.0,-9.28,13.12
0.97,-0.48,0.23,-25.21,-15.81,14.22
0.94,-0.46,0.19,-14.65,-19.35,16.05
0.92,-0.42,0.2,-10.07,-22.34,18.01
0.88,-0.36,0.26,-10.68,-24.84,20.2
0.83,-0.29,0.35,-8.36,-23.86,22.46
0.79,-0.28,0.44,-7.57,-21.12,26.06
0.7,-0.4,0.5,-8.48,-13.37,30.52
0.6,-0.57,0.46,-8.18,2.99,30.4
0.55,-0.7,0.34,-7.45,25.63,23.68
0.52,-0.79,0.21,0.92,40.47,15.69
0.52,-0.79,0.16,3.66,40.59,10.74
0.58,-0.73,0.17,-6.23,34.18,5.19
0.7,-0.66,0.2,-19.59,27.4,-0.85
0.79,-0.62,0.22,-20.32,22.83,-2.75
0.84,-0.59,0.22,-11.41,20.02,-1.77
0.85,-0.59,0.21,-4.82,13.79,0.73
0.84,-0.58,0.22,-1.16,4.09,3.11
0.79,-0.56,0.21,-2.32,-5.68,5.25
0.77,-0.53,0.23,-10.93,-13.61,8.61
0.79,-0.48,0.27,-23.74,-24.41,11.72
0.79,-0.43,0.3,-27.47,-32.71,13.31
0.79,-0.41,0.33,-25.63,-35.64,13.49
